Title,Date,view_count,like_count,comment_count,url
الريمونتادا في الدقائق الأخيرة من مباراة الاتحاد 3 - 2 الشباب في نصف نهائي كأس الملك 2025 🐅⚽️,2025-04-02,202439,3629,191,https://youtu.be/grQ7ppup284
رد فعل | مباراة برشلونة واتلتيكو مدريد اليوم في كأس ملك إسبانيا | رد فعل لعبة برشلونه ضد اتلتيكو,2025-04-02,168413,422,4,https://youtu.be/SivsACZBeLs
ميلان 1-1 إنتر | ذهاب نصف النهائي | كأس إيطاليا,2025-04-02,151870,3694,87,https://youtu.be/xEZMid1P9KE
اهداف الاهلي 🦅♥️ و الهلال السوداني 💙كاس الأمم الافريقيه #الاهلي #الاهلي_اليوم #محمد_الشناوي,2025-04-02,119810,2330,10,https://youtu.be/O14v7YMJSps
ملخص مباراة القادسية 1 - 0 الرائد | دور نصف النهائي من كأس خادم الحرمين الشريفين,2025-04-02,98814,1304,171,https://youtu.be/aP8z9I7baTM
أول تعليق من تريكة بعد فوز ليفربول علي ايفرتون واقترابه من حسم الدوري الانجليزي,2025-04-02,76233,1257,41,https://youtu.be/e7m_gGSQEpo
بث مباشر مباراة برشلونة و أتلتيكو مدريد اليوم في كأس ملك إسبانيا 2025 بث مباشر مباريات اليوم,2025-04-02,44379,179,3,https://youtu.be/cUU2cEMAi1c
موعد مباراة برشلونة ضد أتلتيكو مدريد اليوم في كأس ملك إسبانيا 2025 والقنوات الناقلة,2025-04-02,43206,250,10,https://youtu.be/suIttQbJeBM
موعد مباراة الزمالك وستيلينبوش اليوم الأربعاء والقنوات الناقلة💥 ربع نهائي كأس الكونفدرالية 2025,2025-04-02,34864,0,3,https://youtu.be/zVAWqdQjAow
ملخص مباراة | ريال مدريد 4-4 ريال سوسيداد | كأس ملك إسبانيا | نصف النهائي,2025-04-02,32191,600,3,https://youtu.be/IluWMVo3Xmc
أكشن مع وليد |  ردة فعل جماهير الاتحاد بعد التأهل لنهائي كأس الملك,2025-04-02,32165,473,48,https://youtu.be/fRVhvy_67eI
هدف بيلينغهام عالطاير أسيست فيني 🔥😍,2025-04-02,28877,0,3,https://youtu.be/36LFcGD5XGM
شاهد مباراة المصري البورسعيدي و سيمبا بث مباشر اليوم في كأس الكونفيدرالية الإفريقية 2025,2025-04-02,27656,506,3,https://youtu.be/r7MICN__cBo
موهبة سعودية تُبهر العالم! 😮 مهند آل سعد يسجل في شباك باريس | مهند ال سعد يتفوق في السرعة علي مينديش,2025-04-02,21681,184,6,https://youtu.be/f-roZ47q12k
اجمل ردة فعل للحارس محمد الدعيع 🔥💙😍🇸🇦🥶,2025-04-02,21490,245,2,https://youtu.be/VT-zhCNYMFI
موعد مباراة ريال مدريد وبرشلونة القادمة في نهائي كأس ملك إسبانيا || لعبة ريال مدريد وبرشلونه القادمة,2025-04-02,20757,444,117,https://youtu.be/144mayUKAJE
لقطة إمام عاشور فى د 13 اللى بسببها ضيع على الأهلي فوز تاريخي أمام الهلال السوداني,2025-04-02,18476,151,0,https://youtu.be/2SFDgdSTXOw
نيفيز نسخه جديده من بيرلو 🇵🇹 🎶,2025-04-02,17926,268,8,https://youtu.be/YjCBaF8cibk
الى نهائي كاس الملك🔥🔥| برشلونة - اتلتيكو مدريد,2025-04-02,17900,745,11,https://youtu.be/su62gtNM9V4
موعد وتوقيت مباراة الهلال ضد النصر في الجولة 26 من الدوري السعودي 2025 والقنوات الناقلة,2025-04-02,16697,118,21,https://youtu.be/q5MwbAUKQck
توقعات دوري ابــطـال اروبـــا 🏆 #football #اليورو #مانشستر_سيتي #هالاند #ريالمدريدومانشسترسيتي,2025-04-02,13877,540,57,https://youtu.be/u9gJTEw3-04
موعد مباراة البورسعيدي المصري و سيمبا في ربع نهائي كأس الكونفدرالية 2025,2025-04-02,13712,49,0,https://youtu.be/6vcFiXmXMIM
بث مباشر مباراة الاهلي و الهلال في دوري ابطال افريقيا اليوم - Al Ahly VS Al Hilal ‎Live,2025-04-02,13020,44,1,https://youtu.be/F6CfXMbQcpk
خلصت الحكاية.. الاهلي يحسم اقالة كولر وموعد القرار وشكوي عاجلة للكاف وايقاف حكم لقاء الهلال السوداني,2025-04-02,11998,328,35,https://youtu.be/3a0f1OSMsJs
الشارقة 3-1 الجزيرة | نصف النهائي | كأس رئيس الدولة,2025-04-02,11778,215,5,https://youtu.be/q7XtjxaaDR4
ملخص مباراة الزمالك المصري و ستيلينبوش الجنوب إفريقي دوري الكونفدرالية الإفريقية ZAMALEC,2025-04-02,11663,86,3,https://youtu.be/HQtmqtC3plg
موعد مباراة ريال مدريد وارسنال في دوري ابطال اوروبا  #ريال_مدريد #ارسنال #دوري_ابطال_اوروبا,2025-04-02,10395,224,0,https://youtu.be/qqP3ZXXX9x8
هدف محمد ناجي جدو في دورة رمضانية,2025-04-02,9658,65,0,https://youtu.be/X7j-pMbCJQ0
الكاف يرد على هجوم الأهلي ضد حكم مباراة الهلال الجيش المغربي يشكو بيراميدز الترجي يشكو صنداونز,2025-04-02,9190,227,4,https://youtu.be/qKpZc9s0ZmA
